date,VOC,proportion
2021-08-29,Omicron,0
2021-08-29,Delta,0.995463611121974
2021-08-29,Others,0.00453638887802588
2021-08-30,Omicron,0
2021-08-30,Delta,0.996005623308991
2021-08-30,Others,0.00399437669100922
2021-08-31,Omicron,0
2021-08-31,Delta,0.996443797577342
2021-08-31,Others,0.00355620242265775
2021-09-01,Omicron,0
2021-09-01,Delta,0.996787030474074
2021-09-01,Others,0.00321296952592631
2021-09-02,Omicron,0
2021-09-02,Delta,0.997044218546224
2021-09-02,Others,0.00295578145377562
2021-09-03,Omicron,0
2021-09-03,Delta,0.997224258340838
2021-09-03,Others,0.00277574165916172
2021-09-04,Omicron,0
2021-09-04,Delta,0.997336046404956
2021-09-04,Others,0.0026639535950439
2021-09-05,Omicron,0
2021-09-05,Delta,0.99738847928562
2021-09-05,Others,0.00261152071438031
2021-09-06,Omicron,0
2021-09-06,Delta,0.997390694440151
2021-09-06,Others,0.00260930555984917
2021-09-07,Omicron,0
2021-09-07,Delta,0.997354093035548
2021-09-07,Others,0.0026459069644521
2021-09-08,Omicron,0
2021-09-08,Delta,0.997291316550326
2021-09-08,Others,0.00270868344967412
2021-09-09,Omicron,0
2021-09-09,Delta,0.997215019167253
2021-09-09,Others,0.00278498083274659
2021-09-10,Omicron,0
2021-09-10,Delta,0.997137855069099
2021-09-10,Others,0.00286214493090098
2021-09-11,Omicron,0
2021-09-11,Delta,0.99707247843863
2021-09-11,Others,0.00292752156136944
2021-09-12,Omicron,0
2021-09-12,Delta,0.997031543458617
2021-09-12,Others,0.002968456541383
2021-09-13,Omicron,0
2021-09-13,Delta,0.997027410231895
2021-09-13,Others,0.00297258976810477
2021-09-14,Omicron,0
2021-09-14,Delta,0.997063978769848
2021-09-14,Others,0.00293602123015235
2021-09-15,Omicron,0
2021-09-15,Delta,0.997135623246731
2021-09-15,Others,0.00286437675326923
2021-09-16,Omicron,0
2021-09-16,Delta,0.997236209666681
2021-09-16,Others,0.00276379033331897
2021-09-17,Omicron,0
2021-09-17,Delta,0.997359604033834
2021-09-17,Others,0.00264039596616616
2021-09-18,Omicron,0
2021-09-18,Delta,0.997499672352326
2021-09-18,Others,0.00250032764767383
2021-09-19,Omicron,0
2021-09-19,Delta,0.997650280626294
2021-09-19,Others,0.00234971937370643
2021-09-20,Omicron,0
2021-09-20,Delta,0.997805294899496
2021-09-20,Others,0.00219470510050412
2021-09-21,Omicron,0
2021-09-21,Delta,0.997958591939064
2021-09-21,Others,0.00204140806093622
2021-09-22,Omicron,0
2021-09-22,Delta,0.998104073693468
2021-09-22,Others,0.00189592630653201
2021-09-23,Omicron,0
2021-09-23,Delta,0.998235645721961
2021-09-23,Others,0.00176435427803923
2021-09-24,Omicron,0
2021-09-24,Delta,0.998347213583792
2021-09-24,Others,0.00165278641620792
2021-09-25,Omicron,0
2021-09-25,Delta,0.998432682838213
2021-09-25,Others,0.00156731716178737
2021-09-26,Omicron,0
2021-09-26,Delta,0.998485959044474
2021-09-26,Others,0.0015140409555261
2021-09-27,Omicron,0
2021-09-27,Delta,0.998500947761826
2021-09-27,Others,0.0014990522381737
2021-09-28,Omicron,0
2021-09-28,Delta,0.998473421329976
2021-09-28,Others,0.00152657867002437
2021-09-29,Omicron,0
2021-09-29,Delta,0.9984089732206
2021-09-29,Others,0.00159102677939993
2021-09-30,Omicron,0
2021-09-30,Delta,0.998316415234883
2021-09-30,Others,0.00168358476511743
2021-10-01,Omicron,0
2021-10-01,Delta,0.998204561040785
2021-10-01,Others,0.00179543895921463
2021-10-02,Omicron,0
2021-10-02,Delta,0.998082224306272
2021-10-02,Others,0.00191777569372797
2021-10-03,Omicron,0
2021-10-03,Delta,0.997958218699305
2021-10-03,Others,0.00204178130069521
2021-10-04,Omicron,0
2021-10-04,Delta,0.997841357887847
2021-10-04,Others,0.00215864211215322
2021-10-05,Omicron,0
2021-10-05,Delta,0.99774032287098
2021-10-05,Others,0.00225967712901987
2021-10-06,Omicron,0
2021-10-06,Delta,0.99766206956554
2021-10-06,Others,0.00233793043445996
2021-10-07,Omicron,0
2021-10-07,Delta,0.99761234749116
2021-10-07,Others,0.00238765250883999
2021-10-08,Omicron,0
2021-10-08,Delta,0.997596881412929
2021-10-08,Others,0.00240311858707065
2021-10-09,Omicron,0
2021-10-09,Delta,0.997621396095938
2021-10-09,Others,0.00237860390406208
2021-10-10,Omicron,0
2021-10-10,Delta,0.997691616305275
2021-10-10,Others,0.00230838369472519
2021-10-11,Omicron,0
2021-10-11,Delta,0.99781326680603
2021-10-11,Others,0.00218673319396967
2021-10-12,Omicron,0
2021-10-12,Delta,0.9979918748756
2021-10-12,Others,0.00200812512440041
2021-10-13,Omicron,0
2021-10-13,Delta,0.998223343352068
2021-10-13,Others,0.00177665664793214
2021-10-14,Omicron,0
2021-10-14,Delta,0.998489812649879
2021-10-14,Others,0.00151018735012143
2021-10-15,Omicron,0
2021-10-15,Delta,0.998772364772868
2021-10-15,Others,0.00122763522713243
2021-10-16,Omicron,0
2021-10-16,Delta,0.999052081724874
2021-10-16,Others,0.000947918275126414
2021-10-17,Omicron,0
2021-10-17,Delta,0.999310045509732
2021-10-17,Others,0.00068995449026843
2021-10-18,Omicron,0
2021-10-18,Delta,0.99952733813128
2021-10-18,Others,0.000472661868719859
2021-10-19,Omicron,0
2021-10-19,Delta,0.999685045781494
2021-10-19,Others,0.000314954218506247
2021-10-20,Omicron,0
2021-10-20,Delta,0.999771475003109
2021-10-20,Others,0.000228524996890633
2021-10-21,Omicron,0
2021-10-21,Delta,0.999796966135477
2021-10-21,Others,0.000203033864523361
2021-10-22,Omicron,0
2021-10-22,Delta,0.999776047656437
2021-10-22,Others,0.000223952343562539
2021-10-23,Omicron,0
2021-10-23,Delta,0.999723248043834
2021-10-23,Others,0.000276751956166166
2021-10-24,Omicron,0
2021-10-24,Delta,0.999653095775508
2021-10-24,Others,0.00034690422449235
2021-10-25,Omicron,0
2021-10-25,Delta,0.999580119329301
2021-10-25,Others,0.000419880670698536
2021-10-26,Omicron,0
2021-10-26,Delta,0.999518847183057
2021-10-26,Others,0.000481152816943275
2021-10-27,Omicron,0
2021-10-27,Delta,0.999482043810917
2021-10-27,Others,0.000517956189082569
2021-10-28,Omicron,0
2021-10-28,Delta,0.999470171636542
2021-10-28,Others,0.000529828363458162
2021-10-29,Omicron,0
2021-10-29,Delta,0.999478454307173
2021-10-29,Others,0.000521545692827252
2021-10-30,Omicron,0
2021-10-30,Delta,0.999502096111987
2021-10-30,Others,0.000497903888012852
2021-10-31,Omicron,0
2021-10-31,Delta,0.999536301340162
2021-10-31,Others,0.000463698659837641
2021-11-01,Omicron,0
2021-11-01,Delta,0.999576274280875
2021-11-01,Others,0.000423725719124635
2021-11-02,Omicron,0
2021-11-02,Delta,0.999617219223304
2021-11-02,Others,0.00038278077669629
2021-11-03,Omicron,0
2021-11-03,Delta,0.999654439103324
2021-11-03,Others,0.000345560896676145
2021-11-04,Omicron,0
2021-11-04,Delta,0.999685086025728
2021-11-04,Others,0.000314913974271858
2021-11-05,Omicron,0
2021-11-05,Delta,0.999707954380175
2021-11-05,Others,0.000292045619824877
2021-11-06,Omicron,0
2021-11-06,Delta,0.999721895643533
2021-11-06,Others,0.000278104356466913
2021-11-07,Omicron,0
2021-11-07,Delta,0.999725761292671
2021-11-07,Others,0.000274238707329011
2021-11-08,Omicron,0
2021-11-08,Delta,0.999718402804457
2021-11-08,Others,0.000281597195542771
2021-11-09,Omicron,0
2021-11-09,Delta,0.99969867165576
2021-11-09,Others,0.000301328344239571
2021-11-10,Omicron,0
2021-11-10,Delta,0.999665452688249
2021-11-10,Others,0.000334547311750866
2021-11-11,Omicron,0
2021-11-11,Delta,0.999620888136651
2021-11-11,Others,0.000379111863348824
2021-11-12,Omicron,0
2021-11-12,Delta,0.999573065348747
2021-11-12,Others,0.000426934651252875
2021-11-13,Omicron,0.000142762817419944
2021-11-13,Delta,0.999530704367783
2021-11-13,Others,0.000326532814796887
2021-11-14,Omicron,0.000172942340838946
2021-11-14,Delta,0.999502525237005
2021-11-14,Others,0.000324532422155688
2021-11-15,Omicron,0.00017883696259562
2021-11-15,Delta,0.99949724799966
2021-11-15,Others,0.00032391503774476
2021-11-16,Omicron,0.000150209461554106
2021-11-16,Delta,0.999523592698992
2021-11-16,Others,0.000326197839453757
2021-11-17,Omicron,0
2021-11-17,Delta,0.999590279378249
2021-11-17,Others,0.000409720621751042
2021-11-18,Omicron,0
2021-11-18,Delta,0.999698124076994
2021-11-18,Others,0.00030187592300579
2021-11-19,Omicron,0
2021-11-19,Delta,0.999816326820064
2021-11-19,Others,0.000183673179936061
2021-11-20,Omicron,0
2021-11-20,Delta,0.999906183628614
2021-11-20,Others,9.38163713862794e-05
2021-11-21,Omicron,0
2021-11-21,Delta,0.999928990523798
2021-11-21,Others,7.10094762023106e-05
2021-11-22,Omicron,0
2021-11-22,Delta,0.99984604352677
2021-11-22,Others,0.000153956473229466
2021-11-23,Omicron,0
2021-11-23,Delta,0.999618638658687
2021-11-23,Others,0.00038136134131328
2021-11-24,Omicron,0.000305160164499171
2021-11-24,Delta,0.999208071940702
2021-11-24,Others,0.00048676789479829
2021-11-25,Omicron,0.000906156938755773
2021-11-25,Delta,0.998581486327412
2021-11-25,Others,0.00051235673383232
2021-11-26,Omicron,0.00170363754283035
2021-11-26,Delta,0.99776096539215
2021-11-26,Others,0.000535397065019927
2021-11-27,Omicron,0.00264702933461988
2021-11-27,Delta,0.996798695279634
2021-11-27,Others,0.000554275385745595
2021-11-28,Omicron,0.00368545340333745
2021-11-28,Delta,0.995747170468975
2021-11-28,Others,0.000567376127687647
2021-11-29,Omicron,0.0047680308381947
2021-11-29,Delta,0.99465888543928
2021-11-29,Others,0.000573083722524848
2021-11-30,Omicron,0.00584388272841573
2021-11-30,Delta,0.993586334669649
2021-11-30,Others,0.000569782601935187
2021-12-01,Omicron,0.00686213016320858
2021-12-01,Delta,0.992582012639194
2021-12-01,Others,0.000555857197597653
2021-12-02,Omicron,0.00779974449229367
2021-12-02,Delta,0.991669883319196
2021-12-02,Others,0.000530372188510708
2021-12-03,Omicron,0.00943489335935403
2021-12-03,Delta,0.990053145032056
2021-12-03,Others,0.000511961608589573
2021-12-04,Omicron,0.0134478700460717
2021-12-04,Delta,0.986010835890974
2021-12-04,Others,0.000541294062954001
2021-12-05,Omicron,0.0215670930843144
2021-12-05,Delta,0.977772693291591
2021-12-05,Others,0.000660213624094408
2021-12-06,Omicron,0.0355209810058492
2021-12-06,Delta,0.963568454629651
2021-12-06,Others,0.000910564364499433
2021-12-07,Omicron,0.057037952342619
2021-12-07,Delta,0.94162785730072
2021-12-07,Others,0.00133419035666116
2021-12-08,Omicron,0.0878464256264259
2021-12-08,Delta,0.910180638700505
2021-12-08,Others,0.00197293567306867
2021-12-09,Omicron,0.129670035226802
2021-12-09,Delta,0.867461471309287
2021-12-09,Others,0.00286849346391083
2021-12-10,Omicron,0.182937701637422
2021-12-10,Delta,0.813040584829983
2021-12-10,Others,0.00402171353259517
2021-12-11,Omicron,0.245038010317837
2021-12-11,Delta,0.749624455119781
2021-12-11,Others,0.00533753456238206
2021-12-12,Omicron,0.312923589954388
2021-12-12,Delta,0.680369267603432
2021-12-12,Others,0.00670714244217974
2021-12-13,Omicron,0.383547069232719
2021-12-13,Delta,0.6084312077064
2021-12-13,Others,0.00802172306088189
2021-12-14,Omicron,0.45386107683843
2021-12-14,Delta,0.536966460854187
2021-12-14,Others,0.00917246230738267
2021-12-15,Omicron,0.520818241457927
2021-12-15,Delta,0.469131212471484
2021-12-15,Others,0.010050546070589
2021-12-16,Omicron,0.581371191776591
2021-12-16,Delta,0.408081647984015
2021-12-16,Others,0.0105471602393936
2021-12-17,Omicron,0.633025718282986
2021-12-17,Delta,0.356393058656296
2021-12-17,Others,0.0105812230607171
2021-12-18,Omicron,0.676197795706534
2021-12-18,Delta,0.313584651576458
2021-12-18,Others,0.0102175527170075
2021-12-19,Omicron,0.712257049723834
2021-12-19,Delta,0.278174172300224
2021-12-19,Others,0.00956877797594236
2021-12-20,Omicron,0.742573659173679
2021-12-20,Delta,0.248678785488772
2021-12-20,Others,0.00874755533754931
2021-12-21,Omicron,0.768517802894355
2021-12-21,Delta,0.223615655803779
2021-12-21,Others,0.00786654130186631
2021-12-22,Omicron,0.79145965972458
2021-12-22,Delta,0.201501947906501
2021-12-22,Others,0.00703839236891912
2021-12-23,Omicron,0.812769408502774
2021-12-23,Delta,0.180854826458482
2021-12-23,Others,0.00637576503874385
2021-12-24,Omicron,0.833737062535499
2021-12-24,Delta,0.160277365033985
2021-12-24,Others,0.00598557243051553
2021-12-25,Omicron,0.854610249496317
2021-12-25,Delta,0.139489703535989
2021-12-25,Others,0.00590004696769386
2021-12-26,Omicron,0.874907628271464
2021-12-26,Delta,0.118993176908139
2021-12-26,Others,0.00609919482039639
2021-12-27,Omicron,0.89413289974737
2021-12-27,Delta,0.0993051497451275
2021-12-27,Others,0.00656195050750216
2021-12-28,Omicron,0.91178976481023
2021-12-28,Delta,0.0809429866418805
2021-12-28,Others,0.00726724854788897
2021-12-29,Omicron,0.927381924346264
2021-12-29,Delta,0.0644240521933052
2021-12-29,Others,0.00819402346043045
2021-12-30,Omicron,0.940413079241865
2021-12-30,Delta,0.0502657109941238
2021-12-30,Others,0.00932120976401141
2021-12-31,Omicron,0.950395145620539
2021-12-31,Delta,0.0389772219092635
2021-12-31,Others,0.0106276324701973
2022-01-01,Omicron,0.957240404062643
2022-01-01,Delta,0.0306728161168122
2022-01-01,Others,0.0120867798205444
2022-01-02,Omicron,0.961433634499739
2022-01-02,Delta,0.0249018567339266
2022-01-02,Others,0.0136645087663346
2022-01-03,Omicron,0.963503645400983
2022-01-03,Delta,0.0211702652308765
2022-01-03,Others,0.0153260893681402
2022-01-04,Omicron,0.963979245235554
2022-01-04,Delta,0.0189839630778944
2022-01-04,Others,0.0170367916865518
2022-01-05,Omicron,0.963389242472605
2022-01-05,Delta,0.0178488717452599
2022-01-05,Others,0.0187618857821351
2022-01-06,Omicron,0.962262445581293
2022-01-06,Delta,0.017270912703225
2022-01-06,Others,0.0204666417154818
2022-01-07,Omicron,0.961127592345929
2022-01-07,Delta,0.0167560796497663
2022-01-07,Others,0.0221163280043043
2022-01-08,Omicron,0.960391559865214
2022-01-08,Delta,0.0159348868576513
2022-01-08,Others,0.0236735532771349
2022-01-09,Omicron,0.960089352229139
2022-01-09,Delta,0.0148178385903474
2022-01-09,Others,0.025092809180514
2022-01-10,Omicron,0.960185288675261
2022-01-10,Delta,0.0134876668229327
2022-01-10,Others,0.0263270445018063
2022-01-11,Omicron,0.960643688441137
2022-01-11,Delta,0.0120271035304671
2022-01-11,Others,0.0273292080283961
2022-01-12,Omicron,0.961428870764321
2022-01-12,Delta,0.0105188806880255
2022-01-12,Others,0.0280522485476533
2022-01-13,Omicron,0.962505154882364
2022-01-13,Delta,0.00904573027068373
2022-01-13,Others,0.0284491148469518
2022-01-14,Omicron,0.96383686003283
2022-01-14,Delta,0.00769038425350051
2022-01-14,Others,0.0284727557136697
2022-01-15,Omicron,0.965382459440367
2022-01-15,Delta,0.00652572761322299
2022-01-15,Others,0.0280918129464096
2022-01-16,Omicron,0.967059656604605
2022-01-16,Delta,0.00555597298155368
2022-01-16,Others,0.0273843704138417
2022-01-17,Omicron,0.968768793409353
2022-01-17,Delta,0.00475608916114069
2022-01-17,Others,0.0264751174295068
2022-01-18,Omicron,0.970410147584645
2022-01-18,Delta,0.00410093689429121
2022-01-18,Others,0.0254889155210641
2022-01-19,Omicron,0.971883996860534
2022-01-19,Delta,0.00356537692330532
2022-01-19,Others,0.0245506262161608
2022-01-20,Omicron,0.973090618967049
2022-01-20,Delta,0.00312426999049223
2022-01-20,Others,0.0237851110424585
2022-01-21,Omicron,0.97393029163424
2022-01-21,Delta,0.00275247683815366
2022-01-21,Others,0.023317231527606
2022-01-22,Omicron,0.974308484696754
2022-01-22,Delta,0.00242551106758022
2022-01-22,Others,0.0232660042356659
2022-01-23,Omicron,0.9742279959132
2022-01-23,Delta,0.00213112436351357
2022-01-23,Others,0.023640879723286
2022-01-24,Omicron,0.973778061968973
2022-01-24,Delta,0.00186793730377497
2022-01-24,Others,0.024354000727252
2022-01-25,Omicron,0.973050924239637
2022-01-25,Delta,0.00163494827810181
2022-01-25,Others,0.0253141274822611
2022-01-26,Omicron,0.97213882410075
2022-01-26,Delta,0.00143115567622777
2022-01-26,Others,0.026430020223022
2022-01-27,Omicron,0.971134002927877
2022-01-27,Delta,0.0012555578878892
2022-01-27,Others,0.0276104391842334
2022-01-28,Omicron,0.970128702096586
2022-01-28,Delta,0.00110715330282203
2022-01-28,Others,0.0287641446005924
2022-01-29,Omicron,0.969215033179814
2022-01-29,Delta,0.000984923989285958
2022-01-29,Others,0.0298000428308998
2022-01-30,Omicron,0.96847243516926
2022-01-30,Delta,0.000886258556022924
2022-01-30,Others,0.0306413062747166
2022-01-31,Omicron,0.967957218153563
2022-01-31,Delta,0.000805637366799794
2022-01-31,Others,0.0312371444796369
2022-02-01,Omicron,0.967723230779184
2022-02-01,Delta,0.000737231281866308
2022-02-01,Others,0.0315395379389495
2022-02-02,Omicron,0.96782432169258
2022-02-02,Delta,0.00067521116147202
2022-02-02,Others,0.0315004671459475
2022-02-03,Omicron,0.968314339540211
2022-02-03,Delta,0.000613747865865806
2022-02-03,Others,0.0310719125939231
2022-02-04,Omicron,0.96924713296853
2022-02-04,Delta,0.000547012255297504
2022-02-04,Others,0.0302058547761723
2022-02-05,Omicron,0.970676550624003
2022-02-05,Delta,0.000469175190015952
2022-02-05,Others,0.028854274185981
